epoch,accuracy,val_accuracy,loss,val_loss
1.0,0.2477,0.5601,2.3967,1.4318
2.0,0.5498,0.6684,1.4225,1.05
3.0,0.64,0.7147,1.1361,0.8929
4.0,0.6873,0.748,0.9864,0.7927
5.0,0.7217,0.7716,0.8854,0.7146
6.0,0.7481,0.7905,0.8024,0.6533
7.0,0.7709,0.8162,0.7314,0.5963
8.0,0.7955,0.838,0.6681,0.537
9.0,0.8146,0.8544,0.6125,0.4851
10.0,0.8325,0.8716,0.5588,0.4408
11.0,0.849,0.8791,0.51,0.407
12.0,0.8622,0.8911,0.4682,0.3725
13.0,0.876,0.9042,0.4246,0.3359
14.0,0.8886,0.9169,0.3869,0.2966
15.0,0.9037,0.9224,0.3496,0.273
16.0,0.9118,0.934,0.3204,0.2409
17.0,0.9195,0.9387,0.292,0.2226
18.0,0.927,0.9471,0.2684,0.195
19.0,0.9359,0.9533,0.2373,0.175
20.0,0.9421,0.9591,0.2155,0.1523
21.0,0.9468,0.9618,0.1942,0.1394
22.0,0.9526,0.9648,0.1729,0.1297
23.0,0.9556,0.9687,0.1607,0.1124
24.0,0.9604,0.9721,0.1473,0.1013
25.0,0.9636,0.9747,0.1329,0.0896
26.0,0.968,0.9759,0.1197,0.0842
27.0,0.9709,0.9784,0.1053,0.0752
28.0,0.9707,0.9816,0.101,0.0641
29.0,0.9739,0.9835,0.0912,0.057
30.0,0.9767,0.9854,0.0835,0.052
31.0,0.9791,0.9862,0.0757,0.047
32.0,0.9809,0.9889,0.067,0.0425
33.0,0.9819,0.9894,0.063,0.0383
34.0,0.9824,0.9893,0.0596,0.0381
35.0,0.9837,0.9905,0.0564,0.0342
36.0,0.9845,0.9905,0.0522,0.032
37.0,0.9859,0.9928,0.0478,0.0284
38.0,0.9876,0.9945,0.0446,0.0236
39.0,0.9887,0.9921,0.0404,0.0291
40.0,0.9883,0.9949,0.0404,0.0195
41.0,0.9897,0.9962,0.0347,0.016
42.0,0.9911,0.9958,0.0324,0.0176
43.0,0.9911,0.9956,0.0322,0.0186
44.0,0.9903,0.9953,0.0327,0.0181
45.0,0.9917,0.9972,0.0284,0.0124
46.0,0.9931,0.9975,0.0258,0.0116
47.0,0.9926,0.9978,0.0246,0.0097
48.0,0.9944,0.9962,0.0215,0.014
49.0,0.993,0.9981,0.0255,0.0083
50.0,0.9944,0.9983,0.0207,0.0077
